id,title,servings,ingredients
31,Saftige Frikadeller med Linser,4,hakket oksekød 250g; røde linser 250g; løg 1 stk; æg 1 stk; mælk 100ml
32,Gulerodsbrud med Rodfrugter,6,hvedemel 500g; gulerødder 200g; pastinakker 100g; mælk 300ml
33,Cremet Kartoffelsalat med Bønner,6,kartofler 800g; hvide bønner 400g; mayonnaise 150ml; persille 1 bundt
34,Grøntsagsfyldte Karbonader,4,svinekød 400g; gulerødder 150g; zucchini 100g; løg 1 stk; æg 1 stk
35,Hakkebøf med Linser og Kartofler,4,hakket oksekød 300g; røde linser 200g; løg 2 stk; kartofler 800g
36,Karryboller med Kokos og Grønt,4,hakket kød 400g; selleri 200g; gulerødder 150g; løg 1 stk; kokosmælk 400ml
37,Fyldig Pastasauce med Linser og Oksekød,4,hakket oksekød 300g; røde linser 200g; hakkede tomater 400g; løg 1 stk; hvidløg 2 fed
38,Cremet Leverpostej med Gulerod,8,svinelever 500g; gulerødder 200g; løg 1 stk; æg 2 stk; fløde 200ml
39,Lun Rødkålssalat med Æbler og Linser,6,rødkål 1 kg; røde linser 150g; æbler 2 stk; løg 1 stk; eddike 100ml
40,Fluffy Proteinpandekager med Yoghurt,4,hvedemel 200g; æg 3 stk; mælk 500ml; græsk yogurt 200g
41,Lasagne med Gemt Grønt og Smeltet Ost,6,lasagneplader 250g; hakket kød 400g; zucchini 200g; gulerødder 150g; ost 300g
42,Rustik Ærtegryde med Bacon og Linser,4,gule ærter 400g; røde linser 200g; bacon 200g; løg 1 stk; gulerødder 2 stk
43,Fiskefrikadeller med Quinoa og Dild,4,torsk 400g; quinoa 100g; æg 1 stk; løg 1 stk; dild 1 bundt
44,Cremet Suppe med Grønkål og Fløde,4,kartofler 600g; grønkål 200g; bouillon 1 liter; løg 1 stk; fløde 100ml
45,Blomkåls-Kartoffelmos med Yoghurt,4,blomkål 800g; kartofler 400g; græsk yogurt 200g; mælk 100ml
46,Frisk Agurkesalat med Quinoa og Dild,4,agurker 3 stk; quinoa 150g; dild 1 bundt; eddike 100ml
47,Tomatsauce med Linser og Krydret Kød,4,hakket kød 300g; røde linser 250g; tomatpuré 200g; løg 2 stk
48,Groft Rugbrød med Linser og Surdej,12,rugmel 400g; hvedemel 200g; røde linser 100g; surdej 200g
49,Æggekage med Bacon og Grøntsager,4,æg 6 stk; mælk 200ml; bacon 150g; gulerødder 100g; løg 1 stk
50,Tarteletter med Kylling og Grønt,6,tørbagt tærte 6 stk; kylling 300g; selleri 200g; ærter 150g; gulerødder 100g
51,Lasagne med Ricotta og Spinat,6,lasagneplader 250g; hakket kød 300g; spinat 300g; ricotta 250g; ost 200g
52,Langtidsstegt Flæskesteg med Rodfrugter,8,svinekam 2 kg; gulerødder 400g; selleri 200g; løg 2 stk
53,Cremet Mos med Blomkål og Kartofler,6,kartofler 1 kg; blomkål 400g; mælk 200ml
54,Fiskesuppe med Dild og Rodfrugter,4,torsk 400g; laks 200g; kartofler 400g; gulerødder 200g; dild 1 bundt
55,Chili con Carne med Bønner og Krydderi,4,hakket kød 300g; røde bønner 400g; sorte bønner 400g; tomater 400g; løg 1 stk
56,Frisk Stjerneskud med Avocado og Spinat,2,røget laks 200g; rejer 150g; avocado 1 stk; spinat 100g; rugbrød 4 skiver
57,Kogt Torsk med Smør og Persille,4,torsk 600g; gulerødder 300g; kartofler 800g; persille 1 bundt
58,Cremet Risengrød med Quinoa og Kanel,4,ris 200g; quinoa 100g; mælk 1 liter
59,Smørrebrød med Linser og Leverpostej,4,rugbrød 8 skiver; leverpostej 200g; røgte linser 150g; agurk 1 stk; radiser 8 stk
60,Kødboller med Ris og Grøntsagsfyld,4,hakket kød 400g; zucchini 200g; selleri 150g; ris 300g; bouillon 600ml
61,One Pot Kylling i Karry,4,kyllingebryst 400g; røde linser 200g; ris 300g; gulerødder 200g; løg 1 stk; kokosmælk 400ml
62,One Pot Paella med Kylling,6,kyllingelår 600g; quinoa 200g; ris 200g; chorizo 150g; peberfrugt 2 stk; ærter 150g; bouillon 800ml
63,One Pot Kylling med Asparges,4,kyllingebryst 500g; asparges 300g; quinoa 250g; selleri 150g; persille 1 bundt; fløde 200ml
64,One Pot Kylling og Ris,4,kyllingelår 500g; røde linser 250g; ris 200g; gulerødder 200g; løg 1 stk; bouillon 600ml
65,One Pot Mexicansk Gryderett,4,hakket oksekød 300g; sorte bønner 400g; quinoa 200g; ris 150g; peberfrugt 2 stk; løg 1 stk
66,One Pot Pasta med Kylling,4,pasta 400g; kyllingebryst 300g; spinat 200g; cherry tomater 300g; gulerødder 150g; parmesan 100g
67,One Pot Pasta med Bacon og Fløde,4,pasta 400g; bacon 200g; kyllingebryst 300g; fløde 300ml; spinat 150g; parmesan 100g; hvidløg 2 fed
68,One Pot Grøn Dahl,4,grønne linser 300g; røde linser 150g; kokosmælk 400ml; spinat 200g; løg 1 stk; ingefær 1 stk
69,One Pot Blomkålsrisotto,4,blomkål 600g; quinoa 200g; kyllingebryst 400g; parmesan 150g; fløde 200ml; bouillon 600ml
70,One Pot Græsk Kylling med Ris,4,kyllingelår 600g; ris 250g; quinoa 150g; citron 2 stk; oliven 100g; feta 150g; persille 1 bundt
71,One Pot Italiensk Pastaret,4,pasta 400g; hakket oksekød 300g; røde linser 200g; tomatsauce 400g; mozzarella 200g; basilikum 1 bundt
72,One Pot Lasagnesuppe,4,hakket oksekød 300g; røde linser 200g; pasta 300g; hakkede tomater 800g; ost 200g
73,One Pot Orientalsk Oksekød og Ris,4,hakket oksekød 300g; røde linser 200g; ris 300g; gulerødder 200g; løg 1 stk; kokosmælk 200ml
74,One Pot Indisk Vegetar Karry,4,kikærter 400g; røde linser 200g; kokosmælk 400ml; spinat 300g; løg 1 stk; ingefær 2 cm
75,One Pot Mexicansk Kyllingegryderett,4,kyllingelår 500g; quinoa 200g; ris 150g; sorte bønner 400g; peberfrugt 2 stk; løg 1 stk
76,One Pot Svensk Pølseret,4,pølser 6 stk; kartofler 600g; quinoa 200g; fløde 300ml; løg 1 stk
77,One Pot Mexicansk Quinoagryderett,4,quinoa 300g; sorte bønner 400g; kidneybønner 400g; hakket oksekød 200g; peberfrugt 2 stk; løg 1 stk
78,One Pot Chili sin Carne,4,røde linser 300g; sorte bønner 400g; kidneybønner 400g; hakkede tomater 800g; peberfrugt 3 stk; løg 2 stk
79,Lun Quinoasalat med Rødbede og Feta,4,"quinoa 200g; rødbede 300g; feta 150g; valnødder 50g; persille 1 bundt
80,Grøntsagslasagne med Linser og Ricotta,6,"lasagneplader 250g; røde linser 200g; ricotta 200g; spinat 300g; tomatsauce 400g
81,Krydret Kikærtegryde med Spinat og Tomat,4,"kikærter 400g; spinat 200g; tomater 400g; løg 1 stk; hvidløg 2 fed
82,Rugbrødssandwich med Æg og Avocado,2,"rugbrød 4 skiver; æg 2 stk; avocado 1 stk; salat 50g; mayonnaise 50ml
83,Bagt Laks med Citron og Dild,4,"laks 600g; citron 2 stk; dild 1 bundt; kartofler 800g; smør 50g
84,Vegetarisk Karrysuppe med Kokosmælk,4,"gulerødder 300g; kartofler 400g; kokosmælk 400ml; karry 2 tsk; løg 1 stk
85,Fuldkornspasta med Broccoli og Parmesan,4,"fuldkornspasta 300g; broccoli 300g; parmesan 100g; fløde 100ml; hvidløg 1 fed
86,Rødbedebøffer med Quinoa og Feta,4,"rødbede 300g; quinoa 150g; feta 100g; æg 1 stk; havregryn 50g
87,Tærte med Porre og Skinke,6,"tærtebund 1 stk; porrer 2 stk; skinke 200g; æg 3 stk; fløde 200ml
88,Grøntsagswok med Nudler og Soja,4,"nudler 300g; broccoli 200g; gulerødder 150g; soja 50ml; sesamfrø 30g
89,Bagt Aubergine med Tomat og Mozzarella,4,"aubergine 2 stk; tomatsauce 300g; mozzarella 200g; basilikum 1 bund
90,Fisk i Papir med Citron og Grøntsager,4,"torsk 400g; gulerødder 200g; porrer 1 stk; citron 1 stk; persille 1 bundt
91,Kyllingesalat med Æbler og Valnødder,4,"kyllingebryst 300g; æbler 2 stk; valnødder 50g; salat 100g; dressing 100ml
92,Linsegryde med Gulerod og Selleri,4,"røde linser 300g; gulerødder 200g; selleri 150g; bouillon 600ml; løg 1 stk
93,Kartoffelgratin med Ost og Porre,6,"kartofler 800g; porrer 2 stk; ost 200g; fløde 300ml; muskatnød 1 tsk
94,Æggekage med Spinat og Tomat,4,"æg 6 stk; spinat 200g; tomater 200g; mælk 100ml; ost 100g
95,Fuldkornsburger med Hjemmelavet Bøf,4,"fuldkornsburgerboller 4 stk; hakket oksekød 400g; salat 100g; tomat 2 stk; dressing 100ml
96,Couscoussalat med Kikærter og Granatæble,4,"couscous 200g; kikærter 200g; granatæble 1 stk; mynte 1 bundt; citron 1 stk
